,Mid-stage Female,Late-stage Female,Early-stage Male,Mid-stage Male,Late-stage Male
Early-stage Female,Translation; DNA duplex unwinding,Translation; DNA duplex unwinding,Translation,,
Mid-stage Female,,DNA replication; DNA replication initiation; DNA duplex unwinding,,Translation,
Late-stage Female,DNA replication; DNA replication initiation; DNA duplex unwinding,,,,Translation; Microtubule-based process; Translational initiation; Regulation of translational initiation
Early-stage Male,,,,Ribonucleotide biosynthetic process; Purine ribonucleotide metabolic process; Purine ribonucleotide triphosphate biosynthetic process; Purine ribonucleoside metabolic process; Cytoskeletal anchoring at plasma membrane,Microtubule-based process; Microtubule-based process; Oxidation-reduction process; Purine ribonucleoside triphosphate biosynthetic process; Purine ribonucleotide metabolic process
Mid-stage Male,Translation,,Ribonucleotide biosynthetic process; Purine ribonucleotide metabolic process; Purine ribonucleotide triphosphate biosynthetic process; Purine ribonucleoside metabolic process; Cytoskeletal anchoring at plasma membrane,,Monocarboxylic acid metabolic process; Microtubule-based movement
